Vital Measurement,Node 1,Node 2,Node 3,Node 4,Node 5,Diagnostic Triage,Actions
Heart Rate,Normal,Tachycardia,Maintenance,Maintenance,Prevention,Routine,Standard care - Follow routine protocol
Temperature,Moderate,Fever,Standard,Normal,Routine care,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,High,Unstable,Urgent,Critical,Call 911,Immediate,Red flag - Immediate intervention required
Heart Rate,High,Bradycardia,Immediate,Emergency,Routine care,Immediate,Red flag - Immediate intervention required
Pain Level,Low,Stable,Follow-up,Normal,Follow up,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Moderate,Normal,Normal,Routine,Prevention,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Moderate,Unstable,Regular,Routine,Follow up,Monitor,Continue monitoring - Watch for changes
Motor Function,Low,Acute,Follow-up,Maintenance,Prevention,Monitor,Continue monitoring - Watch for changes
Heart Rate,Normal,Normal,Standard,Routine,Maintenance,Routine,Standard care - Follow routine protocol
Oxygen Saturation,Normal,Progressive,Maintenance,Normal,Routine care,Routine,Standard care - Follow routine protocol
Mental Status,Moderate,Acute,Normal,Routine,Follow up,Monitor,Continue monitoring - Watch for changes
Pupil Response,Critical,Acute,Normal,Regular,Code Blue,Immediate,Red flag - Immediate intervention required
Blood Glucose,Critical,Stable,Baseline,Standard,Emergency Response,Immediate,Red flag - Immediate intervention required
Blood Glucose,Moderate,Progressive,Standard,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
Sensory Function,High,Stable,Emergency,Maintenance,Routine care,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Moderate,Stable,Regular,Standard,Standard protocol,Monitor,Continue monitoring - Watch for changes
Blood Pressure,High,Pre-hypertension,Resuscitation,Regular,Prevention,Immediate,Red flag - Immediate intervention required
Skin Color,Moderate,Stable,Normal,Normal,Prevention,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Critical,Crisis,Regular,Normal,Crash Cart,Immediate,Red flag - Immediate intervention required
Sensory Function,Critical,Unstable,Regular,Standard,Emergency Response,Immediate,Red flag - Immediate intervention required
Pain Level,Low,Chronic,Observe,Standard,Document,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Normal,Pre-hypertension,Standard,Regular,Prevention,Routine,Standard care - Follow routine protocol
Pupil Response,Normal,Stable,Maintenance,Regular,Follow up,Routine,Standard care - Follow routine protocol
Capillary Refill,Low,Chronic,Observe,Standard,Follow protocol,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Low,Progressive,Routine,Standard,Follow up,Monitor,Continue monitoring - Watch for changes
Blood Glucose,High,Unstable,Immediate,Rescue,Follow up,Immediate,Red flag - Immediate intervention required
Motor Function,Normal,Progressive,Baseline,Routine,Prevention,Routine,Standard care - Follow routine protocol
Skin Color,Normal,Progressive,Baseline,Regular,Prevention,Routine,Standard care - Follow routine protocol
Skin Color,Low,Stable,Monitor,Check,Routine care,Monitor,Continue monitoring - Watch for changes
Pupil Response,Normal,Progressive,Standard,Routine,Prevention,Routine,Standard care - Follow routine protocol
Pain Level,Normal,Stable,Baseline,Regular,Standard protocol,Routine,Standard care - Follow routine protocol
Mental Status,Normal,Stable,Regular,Normal,Routine care,Routine,Standard care - Follow routine protocol
AVPU Score,Moderate,Stable,Standard,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Normal,Stable,Maintenance,Regular,Standard protocol,Routine,Standard care - Follow routine protocol
Mental Status,Normal,Chronic,Baseline,Regular,Follow up,Routine,Standard care - Follow routine protocol
Skin Color,Critical,Progressive,Normal,Routine,Code Blue,Immediate,Red flag - Immediate intervention required
